Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
为期,wéiqī,verb phrase: to last for; for a period of,这次培训为期三天。,This training lasts for three days.,Neutral Formal,Usually followed by a duration.,Band5,7.19,
围坐,wéizuò,verb: to sit around something or someone,大家围坐在营火旁聊天。,Everyone sat around the campfire and chatted.,Everyday,Usually describes a group forming a circle while seated.,Unknown,7.19,
未经,wèijīng,preposition: without undergoing; without permission from,未经允许，请勿进入。,Do not enter without permission.,Official,Usually followed by a process or authorization.,Band7,7.19,
午后,wǔhòu,noun: afternoon; after midday,午后的阳光照进了房间。,The afternoon sunlight shone into the room.,Literary,More descriptive/literary than 下午.,Unknown,7.19,
午夜,wǔyè,noun: midnight,午夜时分，街道十分安静。,"At midnight, the streets were very quiet.",Neutral Formal,Specifically around twelve o’clock at night.,Unknown,7.19,
物理,wùlǐ,noun: physics,物理是研究物质和能量的学科。,Physics is the study of matter and energy.,Technical,物理学 is the full name of the academic subject.,Unknown,7.19,
物体,wùtǐ,noun: object; physical body,静止的物体没有改变位置。,A stationary object does not change position.,Technical,Common in physics and scientific descriptions.,Band7,7.19,
物种,wùzhǒng,noun: species,环境变化可能导致一些物种灭绝。,Environmental change may cause some species to become extinct.,Technical,A biological classification of living organisms.,Unknown,7.19,
戏院,xìyuàn,noun: theatre; cinema,我们今晚去戏院看演出。,We are going to the theatre to watch a performance tonight.,Everyday,"Depending on region/context, it can mean a theatre or cinema.",Unknown,7.19,
细沙,xìshā,noun: fine sand,孩子们用细沙堆了一座城堡。,The children built a castle from fine sand.,Everyday,Sand consisting of very small grains.,Unknown,7.19,
细微,xìwēi,adjective: subtle; minute; slight,两幅画之间有细微的差别。,There are subtle differences between the two paintings.,Neutral Formal,Describes something small and difficult to notice.,Band7,7.19,
细雨,xìyǔ,noun: light rain; drizzle,春天的细雨轻轻落下。,The light spring rain fell gently.,Literary,More descriptive than 小雨.,Unknown,7.19,
下厨,xiàchú,verb: to cook; to prepare a meal personally,今天父亲亲自下厨做饭。,Father is personally cooking today.,Everyday,Often emphasizes that someone is entering the kitchen to cook.,Unknown,7.19,
下游,xiàyóu,"noun: downstream
noun: downstream industry/stage",村庄位于河流下游；这家公司属于产业链下游。,The village is downstream of the river; this company operates downstream in the industry chain.,Technical,Can be geographical or economic/industrial.,Band7,7.19,
夏日,xiàrì,noun: summer day; summertime,夏日的海边十分热闹。,The seaside is very lively in summer.,Literary,More descriptive than 夏天.,Unknown,7.19,
仙子,xiānzǐ,noun: fairy; celestial being,故事里的花仙子住在森林中。,The flower fairy in the story lives in the forest.,Literary,"Common in mythology, fairy tales, and fantasy.",Unknown,7.19,
先前,xiānqián,adverb: previously; earlier,先前的计划已经改变了。,The previous plan has already changed.,Neutral Formal,More formal than 以前 or 之前.,Band5,7.19,
现有,xiànyǒu,adjective: existing; currently available,我们必须充分利用现有资源。,We must make full use of existing resources.,Neutral Formal,"Common in reports, plans, and administration.",Band5,7.19,
乡间,xiāngjiān,noun: countryside; rural area,乡间的空气十分清新。,The countryside air is very fresh.,Literary,More descriptive than 农村.,Unknown,7.19,
相近,xiāngjìn,adjective: similar; close to each other,这两个词的意思十分相近。,The meanings of these two words are very similar.,Neutral Formal,Can refer to similarity or physical closeness.,Unknown,7.19,
向往,xiàngwǎng,verb: to yearn for; to look forward to,她一直向往自由的生活。,She has always yearned for a free life.,Neutral Formal,Expresses strong admiration and desire for an ideal life/place.,Band7,7.19,
巷子,xiàngzi,noun: alley; lane,这家小店藏在一条安静的巷子里。,This small shop is hidden in a quiet alley.,Everyday,A narrow street or passage between buildings.,Unknown,7.19,
象牙,xiàngyá,noun: ivory; elephant tusk,为了保护大象，应该禁止非法象牙交易。,Illegal ivory trading should be prohibited to protect elephants.,Technical,Material obtained from elephant tusks.,Unknown,7.19,
小丑,xiǎochǒu,"noun: clown
noun: contemptible or ridiculous person",小丑在台上逗孩子们发笑；他不想成为别人眼中的小丑。,The clown amused the children on stage; he did not want to become a ridiculous figure in others’ eyes.,Everyday,The figurative use is negative or self-deprecating.,Band7,7.19,
小伙,xiǎohuǒ,noun: young man; lad,那个热心的小伙帮老人提行李。,That helpful young man carried the elderly person’s luggage.,Everyday,小伙子 is the fuller and more common form.,Unknown,7.19,
小看,xiǎokàn,verb: to underestimate; to look down on,你可别小看他的能力。,Do not underestimate his ability.,Everyday,Can mean undervaluing ability or treating someone as unimportant.,Band7,7.19,
心算,xīnsuàn,verb: to calculate mentally; mental arithmetic,这道题很简单，我可以心算。,This question is simple enough for me to calculate mentally.,Everyday,Calculation performed without writing or a calculator.,Unknown,7.19,
新式,xīnshì,adjective: new-style; modern-type,这家工厂使用新式机器。,This factory uses new-style machinery.,Neutral Formal,Describes a newer design or method compared with an older one.,Band7,7.19,
新月,xīnyuè,noun: new moon; crescent moon,夜空中出现了一弯新月。,A crescent moon appeared in the night sky.,Literary,Usually the thin moon seen at the beginning of a lunar cycle.,Unknown,7.19,
信件,xìnjiàn,noun: letter; correspondence; mail,桌上放着几封未打开的信件。,Several unopened letters were lying on the table.,Neutral Formal,More formal and collective than 信.,Band7,7.19,
兴致,xìngzhì,noun: interest; enthusiasm; mood for an activity,大家兴致很高，玩到很晚。,Everyone was highly enthusiastic and played until late.,Everyday,"Common patterns: 兴致勃勃, 兴致很高, 没有兴致.",Band7,7.19,
雄狮,xióngshī,noun: male lion; mighty lion,一头雄狮站在草原上。,A male lion stood on the grassland.,Literary,Can literally mean a male lion or figuratively a powerful nation/person.,Unknown,7.19,
修补,xiūbǔ,verb: to mend; to patch; to repair,母亲正在修补孩子的衣服。,The mother is mending the child’s clothes.,Everyday,"Usually repairs holes, cracks, damage, or weaknesses.",Band7,7.19,
学堂,xuétáng,noun: school; traditional classroom,旧时的孩子在私塾学堂里读书。,"In former times, children studied in traditional schools.",Literary,An old-fashioned term for a school or place of learning.,Band7,7.19,
学者,xuézhě,noun: scholar; academic,这位学者长期研究古代历史。,This scholar has long studied ancient history.,Neutral Formal,A person with advanced knowledge or academic expertise.,Band5,7.19,
雪糕,xuěgāo,noun: ice cream; ice lolly,天气太热了，我们去买雪糕吧。,The weather is too hot; let us buy some ice cream.,Everyday,"Common in Singapore/Malaysia, Hong Kong, and southern varieties. 冰淇淋 is standard Mainland usage.",Unknown,7.19,
牙签,yáqiān,noun: toothpick,餐桌上放着一盒牙签。,A box of toothpicks is on the dining table.,Everyday,A small pointed stick used to remove food from between teeth.,Unknown,7.19,
淹死,yānsǐ,verb: to drown; to die from submersion,不会游泳的人进入深水可能会淹死。,A person who cannot swim may drown in deep water.,Everyday,A serious term describing death caused by being underwater.,Unknown,7.19,
眼界,yǎnjiè,noun: horizons; breadth of knowledge and experience,旅行可以开阔人的眼界。,Travelling can broaden a person’s horizons.,Neutral Formal,Refers figuratively to how broadly someone understands the world.,Band7,7.19,
眼球,yǎnqiú,noun: eyeball,医生正在检查病人的眼球。,The doctor is examining the patient’s eyeball.,Technical,The spherical organ inside the eye socket.,Unknown,7.19,
演变,yǎnbiàn,"verb: to evolve; to develop gradually
noun: evolution; gradual change",这个字的写法经过多年演变；语言的演变十分复杂。,The written form of this character evolved over many years; language evolution is very complex.,Neutral Formal,Usually a gradual change over a long period.,Band7,7.19,
演算,yǎnsuàn,verb: to calculate; to work out mathematically,请在纸上演算这道数学题。,Please work out this mathematics problem on paper.,Technical,A formal term for performing mathematical calculations.,Unknown,7.19,
演奏,yǎnzòu,"verb: to perform music
noun: musical performance",乐团正在演奏交响乐；他们的演奏十分精彩。,The orchestra is performing a symphony; their performance is excellent.,Neutral Formal,Used for instrumental music rather than singing.,Band6,7.19,
羊肉,yángròu,noun: mutton; lamb,冬天吃一碗羊肉汤很暖和。,A bowl of mutton soup is warming in winter.,Everyday,Meat from a sheep; context determines whether it is mutton or lamb.,Unknown,7.19,
药方,yàofāng,noun: prescription; medicinal formula,医生给他开了一张药方。,The doctor wrote him a prescription.,Everyday,Can be a modern medical prescription or a traditional medicine formula.,Band7,7.19,
夜幕,yèmù,noun: curtain of night; nightfall,夜幕降临后，城市亮起了灯。,"After night fell, the city’s lights came on.",Literary,Most commonly appears in 夜幕降临.,Unknown,7.19,
一心,yīxīn,adverb: wholeheartedly; with one’s mind entirely on,她一心想成为医生。,She is entirely determined to become a doctor.,Everyday,Usually followed by a goal or action; similar to 专心 but often stronger.,Band7,7.19,
一再,yīzài,adverb: repeatedly; again and again,老师一再提醒学生注意安全。,The teacher repeatedly reminded the students to pay attention to safety.,Neutral Formal,Usually implies the same action happens multiple times.,Band4,7.19,
衣物,yīwù,noun: clothing; garments,请把湿衣物拿去晒干。,Please take the wet clothing out to dry.,Neutral Formal,A collective term for clothes and wearable items.,Unknown,7.19,
依据,yījù,"noun: basis; evidence
verb: to base on; according to",这个决定有法律依据；我们依据事实作出判断。,This decision has a legal basis; we make judgments based on facts.,Neutral Formal,"Common in reasoning, law, reports, and decisions.",Band5,7.19,
异乡,yìxiāng,noun: foreign land; place away from home,他独自在异乡生活多年。,He lived alone away from his homeland for many years.,Literary,Often conveys homesickness or emotional distance from home.,Unknown,7.19,
饮用,yǐnyòng,verb: to drink; to consume as a beverage,这里的自来水不能直接饮用。,The tap water here cannot be drunk directly.,Neutral Formal,Formal wording commonly seen in health and safety notices.,Unknown,7.19,
迎新,yíngxīn,verb: to welcome newcomers,学校举办迎新活动欢迎新生。,The school held an orientation activity to welcome new students.,Everyday,Common for school orientation and welcoming new employees/members.,Unknown,7.19,
营造,yíngzào,verb: to create; to build; to foster,灯光营造了温暖的气氛。,The lighting created a warm atmosphere.,Neutral Formal,"Common with 气氛, 环境, 形象, and physical construction.",Band7,7.19,
应对,yìngduì,verb: to respond to; to cope with,我们必须做好准备，应对紧急情况。,We must prepare well to cope with emergencies.,Neutral Formal,Usually implies deliberately handling a challenge or change.,Band6,7.19,
勇士,yǒngshì,noun: warrior; brave person,勇士拿起武器保护村庄。,The warrior took up his weapon to protect the village.,Literary,"Common in historical, fantasy, military, and heroic contexts.",Unknown,7.19,
用不着,yòngbuzháo,verb phrase: to have no need to; unnecessary,这件小事你用不着担心。,You do not need to worry about this small matter.,Everyday,"Similar to 不用, but often emphasizes that something is unnecessary.",Band5,7.19,
由来,yóulái,noun: origin; reason something came about,你知道这个地名的由来吗？,Do you know the origin of this place name?,Neutral Formal,"Explains how a name, custom, event, or situation originated.",Band7,7.19,
又称,yòuchēng,verb: to also be called; to be otherwise known as,新加坡又称“狮城”。,Singapore is also known as the Lion City.,Neutral Formal,"Common in definitions, descriptions, and reference writing.",Unknown,7.19,
鱼刺,yúcì,noun: fish bone,吃鱼时要小心鱼刺。,Be careful of fish bones when eating fish.,Everyday,"Usually the thin, sharp bones found in fish.",Unknown,7.19,
育人,yùrén,verb: to educate and nurture people,教师承担着教书育人的责任。,Teachers bear the responsibility of teaching and nurturing students.,Neutral Formal,Common in educational and moral-development contexts.,Unknown,7.19,
预示,yùshì,verb: to indicate beforehand; to foreshadow,乌云预示着暴风雨即将来临。,Dark clouds indicate that a storm is approaching.,Neutral Formal,Can refer to signs predicting an event or literary foreshadowing.,Band7,7.19,
原貌,yuánmào,noun: original appearance,修复后的古建筑恢复了原貌。,The restored ancient building regained its original appearance.,Neutral Formal,What something looked like before it was changed or damaged.,Unknown,7.19,
原始,yuánshǐ,adjective: original; primitive; earliest,这里保存着大片原始森林。,Large areas of primeval forest are preserved here.,Neutral Formal,Can mean earliest/original or undeveloped/primitive.,Band5,7.19,
原形,yuánxíng,"noun: original form
noun: true form/nature",这个角色的原形是一位历史人物；妖怪终于现出了原形。,This character was based on a historical figure; the monster finally revealed its true form.,Literary,Common expression: 原形毕露 “reveal one’s true nature.”,Unknown,7.19,
原有,yuányǒu,adjective: original; previously existing,装修时，我们保留了房子的原有结构。,"During renovation, we retained the house’s original structure.",Neutral Formal,Refers to something that existed before a change.,Band5,7.19,
原址,yuánzhǐ,noun: original site; former location,新博物馆建在旧学校的原址上。,The new museum was built on the former site of the old school.,Neutral Formal,Common in historical and construction descriptions.,Unknown,7.19,
源于,yuányú,verb: to originate from; to stem from,这个习俗源于古代。,This custom originated in ancient times.,Neutral Formal,More formal than 来自 and often explains historical or causal origins.,Band7,7.19,
月光,yuèguāng,noun: moonlight,柔和的月光照在湖面上。,Soft moonlight shone on the lake.,Literary,Light from the moon.,Unknown,7.2,
云雾,yúnwù,noun: clouds and mist,山顶被云雾笼罩。,The mountaintop was shrouded in clouds and mist.,Literary,Common in descriptions of mountains and mysterious scenery.,Unknown,7.2,
在于,zàiyú,verb: to lie in; to depend on,成功的关键在于坚持。,The key to success lies in persistence.,Discursive,"Used to identify the essential cause, point, or factor.",Band4,7.2,
赞叹,zàntàn,"verb: to admire and exclaim
noun: admiration",游客赞叹这里的美景；他的表演赢得了大家的赞叹。,Tourists marvelled at the scenery; his performance won everyone’s admiration.,Neutral Formal,Stronger and more expressive than simply 赞美.,Band7,7.2,
赞同,zàntóng,verb: to agree with; to approve of,我赞同你的看法。,I agree with your view.,Neutral Formal,"Usually used with opinions, suggestions, plans, and actions.",Band7,7.2,
早班,zǎobān,noun: morning shift; early service,他这周上早班，每天六点出门。,He is working the morning shift this week and leaves home at six every day.,Everyday,Can be a work shift or an early bus/train/flight.,Unknown,7.2,
造字,zàozì,verb: to create Chinese characters,古人根据事物的形状造字。,Ancient people created characters based on the shapes of things.,Technical,Refers to creating written characters and character-formation principles.,Unknown,7.2,
战船,zhànchuán,noun: warship; battle ship,战船正向敌方船队靠近。,The warship is approaching the enemy fleet.,Literary,Common in historical and fantasy naval settings.,Unknown,7.2,
战地,zhàndì,noun: battlefield; war zone,记者从战地发回了报道。,The reporter sent back a report from the war zone.,Official,An area where fighting or military operations are occurring.,Unknown,7.2,
长裤,chángkù,noun: long trousers; pants,进入实验室时必须穿长裤。,You must wear long trousers when entering the laboratory.,Everyday,Trousers that cover most or all of the legs.,Unknown,7.2,
仗义,zhàngyì,adjective: loyal; ready to help friends; chivalrous,他很仗义，朋友有困难时总会帮忙。,He is very loyal and always helps when his friends are in difficulty.,Everyday,Usually praises loyalty and willingness to stand up for others.,Unknown,7.2,
着手,zhuóshǒu,verb: to begin; to set about doing,我们已经着手调查这个问题。,We have already begun investigating this issue.,Neutral Formal,"Usually followed by a task: 着手准备, 着手处理.",Band7,7.2,
争相,zhēngxiāng,adverb: eagerly competing to; one after another,游客争相拍摄美丽的日落。,Tourists eagerly competed to photograph the beautiful sunset.,Neutral Formal,Usually describes many people enthusiastically doing the same thing.,Unknown,7.2,
整条,zhěngtiáo,determiner: the whole [long object],大雨淹没了整条街。,The heavy rain flooded the entire street.,Everyday,"条 is used for long/narrow things such as roads, rivers, fish, and trousers.",Unknown,7.2,
正当,"zhèngdàng
zhèng dāng","adjective: proper; legitimate
conjunction: just when",他通过正当方式解决问题；正当我们要走时，电话响了。,"He solved the problem through proper means; just as we were about to leave, the phone rang.",Neutral Formal,The pronunciation and meaning depend on whether it means legitimate or “just when.”,Band6,7.2,
正义,zhèngyì,noun: justice; righteousness,人们希望法律能够维护正义。,People hope the law can uphold justice.,Neutral Formal,A moral and legal principle of fairness and what is right.,Band5,7.2,
之类,zhīlèi,fixed expression: and the like; such as,请带上护照、身份证之类的证件。,Please bring documents such as your passport and identity card.,Discursive,Placed after examples to indicate other similar items.,Band6,7.2,
指称,zhǐchēng,verb: to refer to; to designate,这个词通常指称一种特定植物。,This word usually refers to a particular kind of plant.,Technical,"Common in linguistics, definitions, and academic writing.",Unknown,7.2,
制订,zhìdìng,verb: to formulate; to draw up,专家正在制订新的安全标准。,Experts are drawing up new safety standards.,Official,"Usually used for plans, rules, policies, and standards.",Band4,7.2,
制服,zhìfú,"noun: uniform
verb: to subdue; to bring under control",学生每天穿制服上学；警察制服了持刀男子。,Students wear uniforms to school every day; the police subdued the man carrying a knife.,Everyday,The two meanings share the same pronunciation.,Band7,7.2,
置身,zhìshēn,verb: to place oneself in; to be situated in,置身森林中，让人感到十分平静。,Being in the forest makes one feel very peaceful.,Literary,Usually appears as 置身于…… or 置身其中.,Unknown,7.2,
重伤,zhòngshāng,"verb: to seriously injure
noun: serious injury",事故造成两人重伤；伤者因重伤被送往医院。,The accident seriously injured two people; the casualty was sent to hospital with serious injuries.,Neutral Formal,"Used in medical, accident, crime, and news contexts.",Band7,7.2,
助手,zhùshǒu,noun: assistant; helper,研究助手正在整理实验资料。,The research assistant is organizing the experimental data.,Everyday,A person or software/tool that helps perform tasks.,Band5,7.2,
住嘴,zhùzuǐ,imperative: shut up; stop talking,他生气地喊道：“住嘴！”,"He angrily shouted, “Shut up!”",Everyday,"A harsh and impolite command; use 闭嘴 or 请别说了 according to tone, though 闭嘴 is also rude.",Unknown,7.2,
转达,zhuǎndá,verb: to convey; to pass on a message,请代我向他转达谢意。,Please convey my thanks to him on my behalf.,Protocol,"Common for messages, greetings, requests, and thanks.",Band7,7.2,
撞击,zhuàngjī,"verb: to strike; to collide with
noun: impact; collision",海浪不断撞击岩石；强烈的撞击损坏了车门。,The waves repeatedly struck the rocks; the strong impact damaged the car door.,Neutral Formal,"Common in physics, accidents, and descriptive writing.",Band7,7.2,
追捕,zhuībǔ,verb: to pursue and capture,警方正在追捕逃跑的犯人。,The police are pursuing the escaped prisoner.,Official,Usually law-enforcement pursuit intended to make an arrest.,Unknown,7.2,
追赶,zhuīgǎn,verb: to chase; to hurry after,孩子在草地上追赶小狗。,The child chased the puppy across the grass.,Everyday,Can be physical pursuit or figuratively catching up with progress.,Band7,7.2,
捉弄,zhuōnòng,verb: to tease; to play a trick on,不要捉弄年幼的孩子。,Do not play tricks on young children.,Everyday,"Usually deliberately making someone confused, embarrassed, or annoyed for amusement.",Unknown,7.2,
自学,zìxué,verb: to study independently; to teach oneself,他通过网络自学编程。,He taught himself programming through the internet.,Everyday,Learning without direct instruction from a teacher.,Band6,7.2,
自幼,zìyòu,adverb: since childhood,她自幼学习钢琴。,She has studied piano since childhood.,Neutral Formal,More formal than 从小.,Unknown,7.2,
自愿,zìyuàn,"verb: to volunteer
adjective: voluntary; willing",他自愿参加救援工作；这是完全自愿的选择。,He volunteered to participate in rescue work; this is a completely voluntary choice.,Everyday,Indicates free choice without force.,Band5,7.2,
字画,zìhuà,noun: calligraphy and paintings,墙上挂着几幅古代字画。,Several pieces of ancient calligraphy and painting hang on the wall.,Literary,"Similar to 书画, but often refers to physical artworks.",Unknown,7.2,
奏乐,zòuyuè,verb: to perform/play music,典礼开始时，乐团奏乐欢迎来宾。,"When the ceremony began, the orchestra performed music to welcome the guests.",Protocol,Formal term commonly used for ceremonial music.,Unknown,7.2,
最为,zuìwéi,adverb: most; particularly,安全问题最为重要。,Safety is the most important issue.,Neutral Formal,More formal than 最 and usually precedes an adjective.,Unknown,7.2,
作废,zuòfèi,verb: to invalidate; to become void,这张过期的票已经作废。,This expired ticket is already invalid.,Official,"Used for tickets, documents, contracts, rules, and results.",Band6,7.2,
作息,zuòxī,noun: work-and-rest schedule; daily routine,保持规律的作息有利于健康。,Maintaining a regular daily routine is beneficial to health.,Neutral Formal,"Usually refers to sleeping, waking, working, and resting times.",Unknown,7.2,
坐落,zuòluò,verb: to be situated; to be located,这座宾馆坐落在海边。,This hotel is situated by the sea.,Neutral Formal,"Used mainly for buildings, towns, and geographical locations.",Band7,7.2,
布条,bùtiáo,noun: strip of cloth,她用布条把伤口包起来。,She used a strip of cloth to wrap the wound.,Everyday,"条 is the measure word for long, narrow pieces of fabric.",Unknown,7.2,
菜篮,càilán,noun: vegetable basket; shopping basket,奶奶提着菜篮去市场。,Grandmother carried a vegetable basket to the market.,Everyday,Also commonly said as 菜篮子.,Unknown,7.2,
饱经,bǎojīng,verb: to experience fully; to undergo much,这座古城饱经战火。,This ancient city has endured extensive warfare.,Literary,"Usually followed by hardship: 饱经风霜, 饱经磨难.",Unknown,7.2,
别提,bié tí,"fixed expression: do not mention it
fixed expression: extremely; you would not believe how",A：谢谢你。B：别提了；昨天的交通别提多拥挤了。,A: Thank you. B: Don’t mention it; you would not believe how crowded traffic was yesterday.,Everyday,Tone and context determine whether it dismisses a topic or intensifies a description.,Unknown,7.2,
彩笔,cǎibǐ,noun: coloured pen; coloured pencil,孩子用彩笔画了一道彩虹。,The child used coloured pens to draw a rainbow.,Everyday,A general term for coloured drawing/writing instruments.,Unknown,7.2,
草食,cǎoshí,"noun: plant-based food
adjective: herbivorous",这种动物以草食为主；鹿是草食动物。,This animal mainly eats plants; deer are herbivorous animals.,Technical,Usually appears in 草食动物.,Unknown,7.2,
成才,chéngcái,verb: to become a capable/talented person,良好的教育能帮助孩子成长成才。,Good education can help children grow into capable people.,Neutral Formal,Common in educational and motivational writing.,Band7,7.2,
春风,chūnfēng,noun: spring breeze,温暖的春风吹过田野。,A warm spring breeze blew across the fields.,Literary,"Also used figuratively for warmth, kindness, or positive change.",Unknown,7.2,
粗布,cūbù,noun: coarse cloth,过去的人常用粗布制作衣服。,People in the past often used coarse cloth to make clothing.,Everyday,Fabric with a rough texture and relatively thick threads.,Unknown,7.2,
单面,dānmiàn,adjective: single-sided; one-sided,请把文件单面打印。,Please print the document single-sided.,Neutral Formal,Opposite of 双面; common in printing and manufacturing.,Unknown,7.2,
风景画,fēngjǐnghuà,noun: landscape painting,画廊里展出了一幅美丽的风景画。,A beautiful landscape painting is displayed in the gallery.,Everyday,A painting whose main subject is natural or urban scenery.,Unknown,7.2,
风雪,fēngxuě,noun: wind and snow; snowstorm conditions,旅人冒着风雪继续赶路。,The traveller continued his journey through the wind and snow.,Literary,Often figuratively represents hardship.,Unknown,7.2,
感言,gǎnyán,noun: personal reflections; remarks expressing feelings,获奖者发表了简短的得奖感言。,The winner gave a short acceptance speech.,Neutral Formal,Common after receiving an award or completing an important experience.,Unknown,7.2,
各族,gèzú,noun: various ethnic groups; all communities,各族人民共同庆祝节日。,People of various ethnic groups celebrated the festival together.,Official,"Usually followed by 人民, 同胞, or 群众.",Unknown,7.2,
糊涂蛋,hútudàn,noun: fool; muddle-headed person,你这个糊涂蛋，又拿错钥匙了！,You muddle-headed fool—you took the wrong key again!,Everyday,Can be playful or insulting depending on tone.,Unknown,7.2,
划水,huáshuǐ,"verb: to paddle; to move through water
verb: to slack off",他用手划水向岸边游去；别在小组工作中划水。,He paddled toward the shore with his hands; do not slack off during group work.,Everyday,The figurative internet meaning describes contributing little while appearing involved.,Unknown,7.2,
化为,huàwéi,verb: to turn into; to transform into,冰雪在阳光下化为水。,Ice and snow turned into water in the sunlight.,Neutral Formal,More formal/literary than 变成.,Unknown,7.2,
挥笔,huībǐ,verb: to wield a pen/brush; to write or paint boldly,书法家挥笔写下四个大字。,The calligrapher boldly wrote four large characters.,Literary,"Usually describes confident, flowing writing or painting.",Unknown,7.2,
见面礼,jiànmiànlǐ,noun: introductory gift; gift given at a first meeting,祖母给第一次见面的孙女准备了见面礼。,The grandmother prepared an introductory gift for the granddaughter she was meeting for the first time.,Protocol,A gift marking a first formal/family meeting.,Unknown,7.2,
建房,jiànfáng,verb: to build a house,他们准备在乡下建房。,They are preparing to build a house in the countryside.,Everyday,"Similar to 盖房, but slightly more formal.",Unknown,7.2,
姐弟,jiědì,noun: older sister and younger brother,这对姐弟每天一起上学。,The older sister and younger brother go to school together every day.,Everyday,A relationship in which the female sibling is older.,Unknown,7.2,
竟是,jìngshì,fixed expression: unexpectedly is/was; turned out to be,帮助我的人竟是以前的对手。,The person who helped me unexpectedly turned out to be my former opponent.,Everyday,Expresses surprise at an unexpected identity or result.,Unknown,7.2,
舅妈,jiùmā,noun: wife of one’s maternal uncle,春节时，我们去舅妈家拜年。,"During Lunar New Year, we visited my maternal uncle’s wife.",Everyday,The wife of one’s mother’s brother.,Unknown,7.2,
枯树,kūshù,noun: dead or withered tree,路边有一棵没有叶子的枯树。,There is a leafless withered tree by the roadside.,Everyday,A tree that has died or dried up.,Unknown,7.2,
朗朗,lǎnglǎng,"adjective: bright and clear
adjective: clear and resonant",天空朗朗；孩子们的读书声朗朗响起。,The sky is bright and clear; the children’s clear reading voices rang out.,Literary,Common in 朗朗上口 and 书声朗朗.,Unknown,7.2,
脸部,liǎnbù,noun: facial area; face,请避免让化学品接触脸部。,Avoid allowing the chemical to contact the face.,Neutral Formal,More formal/anatomical than 脸.,Unknown,7.2,
流光,liúguāng,"noun: flowing light
noun: passing time",水面闪动着流光；流光易逝，要珍惜时间。,"Flowing light shimmered on the water; time passes quickly, so cherish it.",Literary,A poetic term for moving light or fleeting time.,Unknown,7.2,
名车,míngchē,noun: prestigious car; luxury-brand car,展厅里停着几辆世界名车。,Several prestigious cars are parked in the exhibition hall.,Everyday,"A well-known, expensive, or prestigious automobile.",Unknown,7.2,
墨绿,mòlǜ,noun: dark green; ink green,她穿着一件墨绿色外套。,She wore a dark-green coat.,Everyday,A very deep shade of green.,Unknown,7.2,
木屋,mùwū,noun: wooden house; cabin,森林里有一间小木屋。,There is a small wooden cabin in the forest.,Everyday,A house or shelter primarily made of wood.,Unknown,7.2,
泥人,nírén,noun: clay figurine,工匠捏出了一个生动的泥人。,The craftsperson shaped a lifelike clay figurine.,Everyday,A human-shaped figure made from clay or mud.,Unknown,7.2,
年画,niánhuà,noun: Lunar New Year print; New Year picture,春节前，人们把年画贴在墙上。,"Before Lunar New Year, people paste New Year pictures on the wall.",Literary,Traditional colourful prints with festive and auspicious themes.,Band7,7.2,
年景,niánjǐng,noun: annual conditions; harvest/economic conditions,今年风调雨顺，年景不错。,"The weather has been favourable this year, and conditions are good.",Literary,"Often refers to harvest, livelihood, or economic conditions in a particular year.",Unknown,7.2,
瓶口,píngkǒu,noun: mouth/opening of a bottle,请把漏斗放在瓶口上。,Please place the funnel over the bottle opening.,Everyday,The narrow open top of a bottle.,Unknown,7.2,
起舞,qǐwǔ,verb: to begin dancing; to rise and dance,音乐响起后，大家纷纷起舞。,"After the music began, everyone started dancing.",Literary,More graceful/literary than 开始跳舞.,Unknown,7.2,
琴声,qínshēng,noun: sound of a musical instrument,房间里传来优美的琴声。,Beautiful instrumental music came from the room.,Literary,Usually the sound of piano or a traditional stringed instrument.,Unknown,7.2,
取景,qǔjǐng,verb: to select/frame a scene for photography,摄影师站在山顶取景。,The photographer framed the scene from the mountaintop.,Technical,Selecting the view/composition for a photograph or film shot.,Unknown,7.2,
人脸,rénliǎn,noun: human face,系统可以自动识别人脸。,The system can automatically recognize human faces.,Technical,"Common in technology, security, art, and anatomy.",Unknown,7.2,
日晒,rìshài,noun: exposure to sunlight,长期日晒可能损伤皮肤。,Long-term sun exposure may damage the skin.,Neutral Formal,"Common in health, agriculture, and material-weathering contexts.",Unknown,7.2,
弱者,ruòzhě,noun: weak or disadvantaged person,社会应该保护弱者。,Society should protect vulnerable people.,Neutral Formal,Can mean physically weak people or socially disadvantaged groups.,Unknown,7.2,
山泉,shānquán,noun: mountain spring; spring water,清澈的山泉从石缝中流出。,Clear spring water flowed from between the rocks.,Literary,Water naturally emerging from the ground in mountainous areas.,Unknown,7.2,
伤兵,shāngbīng,noun: wounded soldier,医护人员正在救治伤兵。,Medical workers are treating the wounded soldiers.,Neutral Formal,Used in military and historical contexts.,Unknown,7.2,
身披,shēnpī,verb: to have draped/worn over one’s body,勇士身披盔甲，走进战场。,The warrior entered the battlefield wearing armour.,Literary,More literary than 穿着; usually followed by clothing or covering.,Unknown,7.2,
双目,shuāngmù,noun: both eyes,他双目紧闭，静静休息。,His eyes were tightly closed as he rested quietly.,Literary,More literary than 两只眼睛.,Unknown,7.2,
无际,wújì,adjective: boundless; without visible limits,大海辽阔无际。,The sea is vast and boundless.,Literary,Usually appears as 无边无际 or 辽阔无际.,Unknown,7.2,
