Chinese Words,_apinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Chinese Usage in a Sentence Hint,Band 0 HSK,Dao,Color
款式,kuǎnshì,"noun: style / design (of clothing, products)",这件衣服的款式很新，今年特别流行。,The style of this outfit is very new and trendy this year.,这件衣服的__很新，今年特别流行。,Band7,Unknown,5
苦恼,kǔnǎo,adjective/noun: troubled; distressed,这个问题让他十分苦恼。,This problem troubled him greatly.,这个问题让他十分__。,Band7,3.3,5
来宾,láibīn,noun: guest; visitor,所有来宾都已经到齐了。,All the guests have arrived.,所有__都已经到齐了。,Band7,2.2,5
栏杆,lángān,noun: railing; banister,请不要坐在栏杆上。,Please do not sit on the railing.,请不要坐在__上。,Band7,3.8,5
唠叨,láodao,"verb: to nag / to chatter
adjective (informal): nagging / repetitive",妈妈总是唠叨我早点睡觉。,Mom always nags me to go to bed early.,妈妈总是__我早点睡觉。,Band7,4.4,5
牢记,láojì,verb: to keep firmly in mind / remember deeply,老师说的话，我会一直牢记在心。,I’ll always remember what the teacher said.,老师说的话，我会一直__在心。,Band7,6.3,5
劳累,láolèi,adjective/verb: tired from hard work; exhausted,工作了一整天后，他感到十分劳累。,"After working all day, he felt extremely exhausted.",工作了一整天后，他感到十分__。,Band7,3.4,5
冷淡,lěngdàn,adjective: cold; indifferent,他对别人很冷淡。,He is very indifferent toward others.,他对别人很__。,Band7,3.9,5
凉爽,liángshuǎng,adjective: cool and refreshing,秋天的天气很凉爽。,The weather in autumn is cool and refreshing.,秋天的天气很__。,Band7,3.4,5
理睬,lǐcǎi,verb: to pay attention to; to respond to,他完全不理睬我的问题。,He completely ignored my question.,他完全不__我的问题。,Band7,2.5,5
猎人,lièrén,noun: hunter,那个猎人正在森林里寻找猎物。,The hunter is searching for prey in the forest.,那个__正在森林里寻找猎物。,Band7,2.4,5
灵巧,língqiǎo,adjective: nimble; skillful; dexterous,她有一双灵巧的手。,She has a pair of skillful hands.,她有一双__的手。,Band7,3.6,5
领养,lǐngyǎng,verb: to adopt,他们决定领养一只小狗。,They decided to adopt a puppy.,他们决定__一只小狗。,Band7,3.11,5
流泪,liúlèi,verb: to shed tears; to cry,她感动得流泪了。,She was so moved that she cried.,她感动得__了。,Band7,3.6,5
流露,liúlù,"verb: to show unintentionally / to reveal (emotion, thoughts)",她说没关系，但眼神却流露出失望。,"She said it was fine, but her eyes revealed disappointment.",她说没关系，但眼神却__出失望。,Band7,Unknown,5
留念,liúniàn,verb: to keep as a souvenir; to commemorate,大家一起拍照留念。,Everyone took photos together as a keepsake.,大家一起拍照__。,Band7,3.5,5
留意,liúyì,verb: to pay attention to; to notice,过马路时要留意来往车辆。,Pay attention to passing vehicles when crossing the road.,过马路时要__来往车辆。,Band7,2.7,5
理性,lǐxìng,"noun: rationality; reason
adjective: rational; logical",遇到问题时，他总能保持理性，用理性的方式解决冲突。,"When facing problems, he always maintains rationality and resolves conflicts in a rational way.",遇到问题时，他总能保持__，用__的方式解决冲突。,Band7,Unknown,5
笼子,lóngzi,noun: cage,小鸟被关在笼子里。,The bird was locked inside the cage.,小鸟被关在__里。,Band7,4.4,5
马虎,mǎhǔ,adjective: careless; sloppy,做事情不能太马虎。,You cannot be too careless when doing things.,做事情不能太__。,Band7,2.2,5
马桶,mǎtǒng,noun: toilet bowl,洗手间里的马桶坏了。,The toilet bowl in the restroom is broken.,洗手间里的__坏了。,Band7,4.2,5
美中不足,měi zhōng bù zú,idiom: a small flaw in something otherwise perfect,这幅画非常漂亮，美中不足的是颜色稍微暗了一点。,This painting is beautiful—the only small flaw is that the colors are a bit dark.,这幅画非常漂亮，__的是颜色稍微暗了一点。,Band7,Unknown,5
美景,měijǐng,noun: beautiful scenery,山上的美景让人难忘。,The beautiful scenery on the mountain is unforgettable.,山上的__让人难忘。,Band7,3.5,5
魅力,mèilì,noun: charm / charisma,她不仅有能力，还有一种让人无法抗拒的魅力。,"She is not only capable, but also has an irresistible charm.",她不仅有能力，还有一种让人无法抗拒的__。,Band7,Unknown,5
美味,měiwèi,adjective/noun: delicious; delicacy,这道菜非常美味。,This dish is very delicious.,这道菜非常__。,Band7,3.8,5
猛然,měngrán,adverb: suddenly / abruptly,他猛然站起身，把大家吓了一跳。,"He suddenly stood up, startling everyone.",他__站起身，把大家吓了一跳。,Band7,8.1,5
门铃,ménlíng,noun: doorbell,门铃突然响了。,The doorbell suddenly rang.,__突然响了。,Band7,3.6,5
棉花,miánhuā,noun: cotton,棉花摸起来很柔软。,Cotton feels very soft.,__摸起来很柔软。,Band7,3.8,5
勉强,miǎnqiǎng,"verb: to force someone to do something
adjective: reluctant / barely acceptable",他勉强答应了这个要求，表情看起来很勉强。,"He reluctantly agreed to the request, and his expression showed it clearly.",他__答应了这个要求，表情看起来很__。,Band7,Unknown,5
苗条,miáotiao,adjective: slim / slender,她通过运动变得很苗条，整个人更有精神了。,She became much slimmer through exercise and now looks more energetic.,她通过运动变得很__，整个人更有精神了。,Band7,Unknown,5
迷惑不解,míhuò bù jiě,idiom: puzzled and unable to understand,大家对他突然的辞职感到迷惑不解。,Everyone was puzzled and couldn’t understand his sudden resignation.,大家对他突然的辞职感到__。,Band7,Unknown,5
名贵,míngguì,adjective: rare and expensive; precious,这种茶叶非常名贵。,This kind of tea is very expensive and precious.,这种茶叶非常__。,Band7,2.3,5
命题,mìngtí,noun/verb: proposition; to set questions/topics,老师正在命题准备考试。,The teacher is preparing exam questions.,老师正在__准备考试。,Band7,4.3,5
谜语,míyǔ,noun: riddle,老师给我们出了一个谜语。,The teacher gave us a riddle.,老师给我们出了一个__。,Band7,3.7,5
陌生,mòshēng,adjective: unfamiliar; strange,我对这个地方很陌生。,I am unfamiliar with this place.,我对这个地方很__。,Band7,3.8,5
目的地,mùdìdì,noun: destination,我们终于到达了目的地。,We finally arrived at the destination.,我们终于到达了__。,Band7,2.5,5
幕后,mùhòu,adjective: behind-the-scenes,虽然他不是演员，但他是幕后的一位重要策划者。,"Though not an actor, he is an important behind-the-scenes planner.",虽然他不是演员，但他是__的一位重要策划者。,Band7,Unknown,5
目录,mùlù,noun: table of contents; catalog,请先看看这本书的目录。,Please look at the table of contents of this book first.,请先看看这本书的__。,Band7,4.3,5
脑海,nǎohǎi,noun: mind; thoughts,那个画面一直留在我的脑海里。,That image has stayed in my mind.,那个画面一直留在我的__里。,Band7,3.6,5
泥土,nítǔ,noun: soil; earth,花园里的泥土很湿。,The soil in the garden is very wet.,花园里的__很湿。,Band7,3.7,5
农场,nóngchǎng,noun: farm,孩子们去农场参观动物。,The children went to the farm to see animals.,孩子们去__参观动物。,Band7,3.1,5
跑道,pǎodào,noun: track; runway,学生们正在跑道上练习跑步。,The students are practicing running on the track.,学生们正在__上练习跑步。,Band7,3.1,5
佩服,pèifú,verb: to admire; to look up to,我很佩服他的勇气。,I really admire his courage.,我很__他的勇气。,Band7,3.1,5
喷泉,pēnquán,noun: fountain,广场中央有一个喷泉。,There is a fountain in the center of the square.,广场中央有一个__。,Band7,4.3,5
偏僻,piānpì,adjective: remote; isolated,那个村庄非常偏僻。,That village is very remote.,那个村庄非常__。,Band7,3.11,5
疲倦,píjuàn,adjective: tired; exhausted; weary,工作了一整天后，他感到非常疲倦。,"After working all day, he felt very exhausted.",工作了一整天后，他感到非常__。,Band7,2.2,5
品尝,pǐncháng,verb: to taste; to sample,游客们正在品尝当地小吃。,The tourists are tasting local snacks.,游客们正在__当地小吃。,Band7,3.9,5
品德,pǐndé,noun: moral character,老师很注重学生的品德。,Teachers place great importance on students’ moral character.,老师很注重学生的__。,Band7,4.4,5
拼命,pīnmìng,adverb/verb: with all one’s might / to risk one's life,他拼命地赶作业，希望能按时交上去。,He rushed like crazy to finish the homework on time.,他__地赶作业，希望能按时交上去。,Band7,2.6,5
贫穷,pínqióng,adjective: poor (economically),他出生在一个贫穷的家庭，但靠自己的努力改变了命运。,"He was born into a poor family, but changed his destiny through hard work.",他出生在一个__的家庭，但靠自己的努力改变了命运。,Band7,2.2,5
破旧,pòjiù,adjective: worn-out; shabby,那间房子看起来很破旧。,That house looks very old and shabby.,那间房子看起来很__。,Band7,3.8,5
抢夺,qiǎngduó,verb: to snatch / seize by force,嫌疑人当街抢夺他人财物。,The suspect snatched someone’s belongings in public.,嫌疑人当街__他人财物。,Band7,Unknown,5
强行,qiángxíng,adverb/verb: forcibly / to force,他想强行闯入会场，被保安拦了下来。,He tried to force his way into the venue but was stopped by security.,他想强行闯入会场，被保安拦了下来。,Band7,7.18,5
前夕,qiánxī,noun: eve / the day before (usually a big event),考试前夕，他熬夜复习到凌晨。,"On the eve of the exam, he stayed up revising until early morning.",考试__，他熬夜复习到凌晨。,Band7,Unknown,5
恰巧,qiàqiǎo,adverb: by chance / just so happens,我正要出门，恰巧你也来了，我们一起走吧。,"I was just about to leave, and you happened to arrive — let’s go together.",我正要出门，__你也来了，我们一起走吧。,Band7,Unknown,5
器材,qìcái,noun: equipment; apparatus,学校新买了很多运动器材。,The school bought a lot of new sports equipment.,学校新买了很多运动__。,Band7,3.1,5
起初,qǐchū,adverb: at first / initially,起初他不习惯新环境，但后来慢慢适应了。,"At first, he wasn’t used to the new environment, but gradually adapted.",__他不习惯新环境，但后来慢慢适应了。,Band7,3.9,5
契机,qìjī,noun: turning point / opportunity / trigger,这次失败反而成了他成长的契机。,This failure instead became a turning point for his growth.,这次失败反而成了他成长的__。,Band7,Unknown,5
起劲,qǐjìn,adjective/verb: enthusiastic; energetic; to get into something,孩子们玩得很起劲。,The children were playing very enthusiastically.,孩子们玩得很__。,Band7,3.2,5
庆典,qìngdiǎn,noun: celebration ceremony,学校举行了一场盛大的庆典。,The school held a grand celebration ceremony.,学校举行了一场盛大的__。,Band7,3.2,5
情侣,qínglǚ,noun: romantic couple; lovers,那对情侣每天都会一起散步。,The couple goes for walks together every day.,那对__每天都会一起散步。,Band7,Unknown,5
青蛙,qīngwā,noun: frog,小河边有很多青蛙。,There are many frogs by the river.,小河边有很多__。,Band7,3.8,5
倾斜,qīngxié,verb/adjective: to tilt; slanted,那棵树因为大风而倾斜了。,That tree tilted because of the strong wind.,那棵树因为大风而__了。,Band7,4.4,5
清新,qīngxīn,adjective: fresh; clean and refreshing,雨后的空气非常清新。,The air after the rain is very fresh.,雨后的空气非常__。,Band7,3.5,5
情愿,qíngyuàn,verb: to be willing to; would rather,她情愿一个人加班，也不想把工作拖到明天。,She would rather work overtime alone than postpone the work to tomorrow.,她__一个人加班，也不想把工作拖到明天。,Band7,6.4,5
亲近,qīnjìn,verb/adjective: to get close to; intimate,小孩子很喜欢亲近动物。,Children like getting close to animals.,小孩子很喜欢__动物。,Band7,3.3,5
勤快,qínkuài,adjective: hardworking; diligent,她是个非常勤快的人。,She is a very hardworking person.,她是个非常__的人。,Band7,3.3,5
勤劳,qínláo,adjective: hardworking; diligent,她是个非常勤劳的人。,She is a very hardworking person.,她是个非常__的人。,Band7,3.9,5
亲戚,qīnqi,noun: relative,过年时，亲戚们都会聚在一起吃饭聊天。,"During the New Year, relatives gather together to eat and chat.",过年时，__们都会聚在一起吃饭聊天。,Band7,Unknown,5
亲手,qīnshǒu,adverb: personally; with one’s own hands,她亲手做了这个蛋糕。,She personally made this cake.,她__做了这个蛋糕。,Band7,3.1,5
期盼,qīpàn,verb/noun: to look forward to; expectation,孩子们都在期盼假期的到来。,The children are all looking forward to the holidays.,孩子们都在__假期的到来。,Band7,2.7,5
欺骗,qīpiàn,verb: to deceive; to cheat,你不应该欺骗别人。,You should not deceive others.,你不应该__别人。,Band7,3.2,5
求救,qiújiù,verb: to call for help,他立刻向附近的人求救。,He immediately called for help from nearby people.,他立刻向附近的人__。,Band7,2.4,5
娶,qǔ,verb: for a man to marry; to take a wife,他打算明年娶她。,He plans to marry her next year.,他打算明年__她。,Band7,Unknown,5
劝告,quàngào,verb: to advise; to urge / noun: advice,他没有听父母的劝告。,He did not listen to his parents’ advice.,他没有听父母的__。,Band7,2.3,5
拳头,quántou,noun: fist,他握紧了拳头。,He clenched his fists tightly.,他握紧了__。,Band7,3.6,5
去处,qùchù,noun: destination / place to go,这个周末还没安排好，有没有什么好去处推荐？,I haven't made plans for the weekend — do you have any good places to go?,这个周末还没安排好，有没有什么好__推荐？,Band7,6.4,5
取代,qǔdài,verb: to replace / to substitute,人工智能正逐渐取代一些传统的工作岗位。,AI is gradually replacing some traditional jobs.,人工智能正逐渐__一些传统的工作岗位。,Band7,5.2,5
忍饥挨饿,rěnjīáigè,idiom: to endure hunger,为了完成任务，他们忍饥挨饿坚持了好几天。,"To complete the mission, they endured hunger for several days.",为了完成任务，他们__坚持了好几天。,Band7,8.5,5
人手,rénshǒu,noun: manpower / staff,现在正是装修旺季，工地非常缺人手。,"It’s the busy season for renovations, and the site is short on manpower.",现在正是装修旺季，工地非常缺__。,Band7,Unknown,5
忍心,rěnxīn,verb: to have the heart to; to be willing to do something cruel,你怎么忍心骗他？,How could you bear to deceive him?,你怎么__骗他？,Band7,2.5,5
人行道,rénxíngdào,noun: sidewalk; pedestrian walkway,请不要在 人行道 上骑自行车。,Please do not ride bicycles on the sidewalk.,请不要在__上骑自行车。,Band7,2.7,5
融化,rónghuà,verb: to melt; to soften emotionally,冰淇淋在太阳下很快融化了，而他的贴心举动也慢慢融化了她的心。,"The ice cream melted quickly under the sun, and his thoughtful actions also slowly softened her heart.",冰淇淋在太阳下很快__了，而他的贴心举动也慢慢__了她的心。,Band7,Unknown,5
柔软,róuruǎn,adjective: soft / flexible,这条毛毯特别柔软，盖起来非常舒服。,This blanket is especially soft and very comfortable to use.,这条毛毯特别__，盖起来非常舒服。,Band7,5.5,5
入场,rùchǎng,verb / noun: to enter a venue / admission,入场前请出示门票并排队。,Please show your ticket and line up before entering.,__前请出示门票并排队。,Band7,6.1,5
散发,sànfā,"verb: to emit / to give off (light, smell, energy, etc.)",花朵散发出淡淡的香气，让人心情愉快。,The flowers give off a light fragrance that lifts your mood.,花朵散发出淡淡的香气，让人心情愉快。,Band7,5.4,5
删除,shānchú,verb: to delete / to erase,请把重复的文件删除掉。,Please delete the duplicate files.,请把重复的文件__掉。,Band7,8.4,5
山顶,shāndǐng,noun: mountaintop,我们终于到达了山顶。,We finally reached the mountaintop.,我们终于到达了__。,Band7,3.7,5
盛开,shèngkāi,verb: to bloom fully; to blossom,花园里的花正在盛开。,The flowers in the garden are blooming beautifully.,花园里的花正在__。,Band7,3.8,5
深受,shēnshòu,"verb: to deeply receive (often used with influence, impact, etc.)",她的作品深受观众喜爱，也深受母亲去世的影响。,Her works are deeply loved by the audience and were also deeply affected by her mother’s death.,她的作品__观众喜爱，也深受母亲去世的影响。,Band7,3.9,5
神仙,shénxiān,noun: immortal; fairy deity,传说中山里住着神仙。,Legend says immortals live in the mountains.,传说中山里住着__。,Band7,4.2,5
身影,shēnyǐng,noun: figure; silhouette,我远远地看见了他的身影。,I saw his figure from far away.,我远远地看见了他的__。,Band7,3.1,5
社团,shètuán,noun: club / student organization,她参加了三个社团，每天下课都很忙。,"She joined three clubs, so she's busy every day after class.",她参加了三个__，每天下课都很忙。,Band7,Unknown,5
实话,shíhuà,noun: the truth,说实话，我一点也不喜欢他那种态度。,"To tell the truth, I really don’t like his attitude.",说__，我一点也不喜欢他那种态度。,Band7,Unknown,5
视力,shìlì,noun: eyesight; vision,长时间看手机会影响视力。,Looking at phones for too long affects eyesight.,长时间看手机会影响__。,Band7,3.8,5
视线,shìxiàn,noun: line of sight; view,高楼挡住了我的视线。,The tall building blocked my view.,高楼挡住了我的__。,Band7,3.4,5
视野,shìyě,noun: field of vision / perspective,旅行能开阔一个人的视野，让人看到不同的世界。,Travel broadens your perspective and lets you see different parts of the world.,旅行能开阔一个人的__，让人看到不同的世界。,Band7,7.15,5
手臂,shǒubì,noun: arm,他的手臂受伤了。,His arm was injured.,他的__受伤了。,Band7,4.2,5
收缩,shōusuō,verb: to shrink / contract,气温下降后，材料会自然收缩。,"When the temperature drops, the material naturally contracts.",气温下降后，材料会自然__。,Band7,Unknown,5
手艺,shǒuyì,noun: craftsmanship / skill (esp. with hands),他做饭的手艺特别好，大家都抢着吃。,His cooking skills are amazing—everyone fights to eat his food.,他做饭的__特别好，大家都抢着吃。,Band7,Unknown,5
爽快,shuǎngkuài,adjective: straightforward; cheerful;爽快,他很爽快地答应了我的请求。,He readily agreed to my request.,他很__地答应了我的请求。,Band7,3.6,5
水龙头,shuǐlóngtóu,noun: faucet / tap,洗完手后请关好水龙头。,Please turn off the faucet after washing your hands.,洗完手后请关好__。,Band7,4.3,5
瞬间,shùnjiān,noun/adverb: instant / in an instant,灯一亮，房间在瞬间变得明亮起来。,"When the light turned on, the room became bright in an instant.",灯一亮，房间在__变得明亮起来。,Band7,Unknown,5
顺着,shùnzhe,preposition/verb: along; following,你顺着这条路走就会看到车站。,"If you follow this road, you will see the station.",你__这条路走就会看到车站。,Band7,4.4,5
树枝,shùzhī,noun: branch; twig,地上掉满了树枝。,The ground is covered with branches.,地上掉满了__。,Band7,3.7,5
私家车,sījiāchē,Private Car,在新加坡，拥有一辆私家车的成本很高,"In Singapore, the cost of owning a private car is very high",在新加坡，拥有一辆__的成本很高,Band7,Unknown,5
随处可见,suíchùkějiàn,adverb: everywhere / anywhere,在城市里，随处可见环保宣传的标语。,"In the city, you can see environmental slogans everywhere.",在城市里，__可见环保宣传的标语。,Band7,Unknown,5
损坏,sǔnhuài,verb: to break / to damage (physically),请小心使用设备，以免损坏。,Please use the equipment carefully to avoid damage.,请小心使用设备，以免__。,Band7,4.5,5
所属,suǒshǔ,verb/adjective: to belong to / affiliated with,请写上你的姓名和所属社团。,Please write your name and which club you belong to.,请写上你的姓名和__社团。,Band7,Unknown,5
所谓,suǒwèi,adjective: so-called / what is known as,所谓“天才”，其实也是靠努力换来的。,What people call “genius” is usually just the result of hard work.,__“天才”，其实也是靠努力换来的。,Band7,Unknown,5
谈论,tánlùn,verb: to discuss; to talk about,他们正在谈论最近的新闻。,They are discussing the recent news.,他们正在__最近的新闻。,Band7,2.5,5
探险,tànxiǎn,verb/noun: to explore; adventure,他喜欢去森林探险。,He likes going into forests for adventures.,他喜欢去森林__。,Band7,2.5,5
逃避,táobì,verb: to avoid; to evade,遇到问题时不应该逃避。,One should not avoid problems when facing them.,遇到问题时不应该__。,Band7,3.1,5
特制,tèzhì,adjective/verb: specially made; custom-made,这是为你特制的蛋糕。,This is a specially made cake for you.,这是为你__的蛋糕。,Band7,2.4,5
天鹅,tiāné,noun: swan,湖里有几只美丽的天鹅。,There are several beautiful swans in the lake.,湖里有几只美丽的__。,Band7,2.1,5
天桥,tiānqiáo,noun: overhead bridge; pedestrian bridge,我们从天桥过马路吧。,Let’s cross the road using the overhead bridge.,我们从__过马路吧。,Band7,2.6,5
填写,tiánxiě,verb: to fill in; to complete a form,请先填写这张表格。,Please fill in this form first.,请先__这张表格。,Band7,2.4,5
提议,tíyì,"verb: to suggest / propose
noun: proposal / suggestion",我提议我们今天早点下班，这个提议大家都同意了。,"I suggested we get off work earlier today, and everyone agreed with the idea.",我__我们今天早点下班，这个提议大家都同意了。,Band7,2.1,5
提早,tízǎo,verb/adverb: earlier; ahead of time,我们最好提早出发。,We had better leave earlier.,我们最好__出发。,Band7,3.9,5
通风,tōngfēng,verb: to ventilate; ventilation,房间需要通风。,The room needs ventilation.,房间需要__。,Band7,3.4,5
通告,tōnggào,noun/verb: notice; announcement,学校发出了新的通告。,The school issued a new announcement.,学校发出了新的__。,Band7,3.9,5
通往,tōngwǎng,verb: to lead to,这条路通往海边。,This road leads to the seaside.,这条路__海边。,Band7,3.5,5
头顶,tóudǐng,noun: top of the head / overhead,太阳正好在他头顶，晒得人睁不开眼。,"The sun was right overhead, making it hard to open one’s eyes.",太阳正好在他__，晒得人睁不开眼。,Band7,4.6,5
推测,tuīcè,verb/noun: to speculate; speculation,我只能根据线索推测结果。,I can only speculate about the result based on the clues.,我只能根据线索__结果。,Band7,4.3,5
推断,tuīduàn,verb/noun: to infer; deduction,警察正在推断事情的经过。,The police are inferring what happened.,警察正在__事情的经过。,Band7,4.3,5
退缩,tuìsuō,verb: to shrink back; to back down,面对困难，我们不能退缩。,We cannot back down when facing difficulties.,面对困难，我们不能__。,Band7,2.7,5
突如其来,tūrúqílái,adjective: sudden; unexpected,这场突如其来的大雨打乱了原本的计划。,This sudden heavy rain disrupted the original plan.,这场突如其来的大雨打乱了原本的计划。,Band7,Unknown,5
外表,wàibiǎo,noun: appearance,不能只看外表，他其实是个很温暖的人。,You can’t judge by appearance—he’s actually a very warm person.,不能只看__，他其实是个很温暖的人。,Band7,3.7,5
完好,wánhǎo,adjective: intact; undamaged,这些古董保存得非常完好。,These antiques are preserved in excellent condition.,这些古董保存得非常__。,Band7,2.6,5
未免,wèimiǎn,adverb: rather; a bit too,你这样说话未免太直接了。,The way you speak is a bit too direct.,你这样说话__太直接了。,Band7,3.8,5
围墙,wéiqiáng,noun: surrounding wall; fence wall,学校外面有一道高高的围墙。,There is a tall wall around the school.,学校外面有一道高高的__。,Band7,3.2,5
委屈,wěiqū,adjective/noun: wronged; grievance,她觉得很委屈，差点哭了。,She felt wronged and almost cried.,她觉得很__，差点哭了。,Band7,3.8,5
喂养,wèiyǎng,"verb: to feed and raise (used for pets, animals, infants)",他每天早上六点准时喂养狗狗。,He feeds his dog every morning at six sharp.,他每天早上六点准时__狗狗。,Band7,6.4,5
温柔,wēnróu,"adjective: gentle / soft (personality, tone, action)",他说话很温柔，让人不自觉就放松下来。,He speaks so gently that it naturally puts people at ease.,他说话很__，让人不自觉就放松下来。,Band7,2.2,5
屋顶,wūdǐng,noun: rooftop; roof,小猫跳上了屋顶。,The kitten jumped onto the roof.,小猫跳上了__。,Band7,4.2,5
无力,wúlì,adjective: powerless; weak,他累得全身无力。,He was so tired that his whole body felt weak.,他累得全身__。,Band7,3.1,5
无意,wúyì,adjective/adverb: unintentionally; not intending to,我无意伤害你。,I did not mean to hurt you.,我__伤害你。,Band7,3.6,5
项链,xiàngliàn,noun: necklace,她戴着一条漂亮的项链。,She is wearing a beautiful necklace.,她戴着一条漂亮的__。,Band7,3.2,5
香味,xiāngwèi,noun: fragrance; aroma,厨房里传来香味。,A delicious aroma came from the kitchen.,厨房里传来__。,Band7,4.2,5
鲜美,xiānměi,adjective: delicious and fresh,这碗汤的味道非常鲜美。,This soup tastes very fresh and delicious.,这碗汤的味道非常__。,Band7,3.2,5
羡慕,xiànmù,verb: to envy / admire,我很羡慕她能自由地去旅行，但我也在努力存钱。,"I really envy her freedom to travel, but I’m working hard to save up too.",我很__她能自由地去旅行，但我也在努力存钱。,Band7,Unknown,5
嫌弃,xiánqì,verb: to dislike; to look down on,她从不嫌弃别人条件普通，反而更看重性格。,She never looks down on people for having ordinary circumstances and instead values personality more.,她从不__别人条件普通，反而更看重性格。,Band7,Unknown,5
小贩,xiǎofàn,noun: hawker; street vendor,小贩正在卖水果。,The hawker is selling fruits.,__正在卖水果。,Band7,4.3,5
小溪,xiǎoxī,noun: brook; stream,一条小溪从村子旁边流过。,A small stream flows past the village.,一条__从村子旁边流过。,Band7,3.8,5
心爱,xīnài,adjective: beloved; cherished,这是我最心爱的礼物。,This is my most cherished gift.,这是我最__的礼物。,Band7,2.6,5
幸好,xìnghǎo,adverb: fortunately; luckily,幸好我们及时赶到了。,"Fortunately, we arrived in time.",__我们及时赶到了。,Band7,2.7,5
兴建,xīngjiàn,verb: to build; to construct,政府准备兴建新的医院。,The government plans to build a new hospital.,政府准备__新的医院。,Band7,3.4,5
猩猩,xīngxīng,noun: ape; orangutan/gorilla,动物园里的猩猩很聪明。,The ape in the zoo is very intelligent.,动物园里的__很聪明。,Band7,4.2,5
形影不离,xíngyǐngbùlí,idiom: inseparable (like body and shadow),他们两个是形影不离的好朋友，每天都在一起。,They’re inseparable best friends and spend every day together.,他们两个是__的好朋友，每天都在一起。,Band7,Unknown,5
新款,xīnkuǎn,noun: new model / latest version,这款新款包包设计时尚，颜色也很受欢迎。,This new model handbag has a stylish design and popular colors.,这款__包包设计时尚，颜色也很受欢迎。,Band7,Unknown,5
心思,xīnsī,noun: thoughts; mind; intention,她完全没有心思工作。,She had absolutely no mood to work.,她完全没有__工作。,Band7,3.3,5
心意,xīnyì,noun: kindness; intention; heartfelt feeling,这是我的一点心意。,This is a small token of my appreciation.,这是我的一点__。,Band7,3.3,5
吸取,xīqǔ,"verb: to absorb / to draw from (experience, lessons)",我们应该吸取过去的教训，避免重蹈覆辙。,We should draw lessons from the past to avoid repeating mistakes.,我们应该__过去的教训，避免重蹈覆辙。,Band7,6.4,5
习俗,xísú,noun: custom; tradition,每个国家都有不同的习俗。,Every country has different customs.,每个国家都有不同的__。,Band7,3.8,5
羞愧,xiūkuì,adjective: ashamed / guilty,做错事后，他感到十分羞愧，不敢抬头。,He felt very ashamed after making a mistake and didn’t dare to lift his head.,做错事后，他感到十分__，不敢抬头。,Band7,Unknown,5
细心,xìxīn,adjective: careful; attentive; meticulous,他做事非常细心。,He is very careful when doing things.,他做事非常__。,Band7,2.3,5
选项,xuǎnxiàng,noun: option; choice,请从以下选项中选择答案。,Please choose the answer from the following options.,请从以下__中选择答案。,Band7,3.4,5
学业,xuéyè,noun: studies; schoolwork; academic work,他最近的学业压力很大。,He has been under a lot of academic pressure recently.,他最近的__压力很大。,Band7,2.1,5
寻常,xúncháng,adjective: ordinary / common,今天只是个寻常的下午，但我却突然接到了一通特别的电话。,Today was just an ordinary afternoon — but I suddenly received a special call.,今天只是个__的下午，但我却突然接到了一通特别的电话。,Band7,Unknown,5
养活,yǎnghuó,verb: to support; to provide for,他努力工作养活一家人。,He works hard to support his family.,他努力工作__一家人。,Band7,3.4,5
炎热,yánrè,adjective: scorching hot; extremely hot,夏天的天气非常炎热。,The weather in summer is extremely hot.,夏天的天气非常__。,Band7,2.1,5
眼神,yǎnshén,noun: expression in one’s eyes; gaze,她的眼神看起来很温柔。,Her gaze looks very gentle.,她的__看起来很温柔。,Band7,3.11,5
演戏,yǎnxì,verb: to act; to perform in a play,她从小就喜欢演戏。,She has liked acting since childhood.,她从小就喜欢__。,Band7,2.5,5
摇摆,yáobǎi,verb: to sway; to swing,树枝在风中不停摇摆。,The branches kept swaying in the wind.,树枝在风中不停__。,Band7,4.2,5
摇晃,yáohuàng,verb: to shake; to sway,船在海上不停地摇晃。,The boat kept swaying on the sea.,船在海上不停地__。,Band7,4.4,5
野兽,yěshòu,noun: wild beast,森林里可能有危险的野兽。,There may be dangerous wild beasts in the forest.,森林里可能有危险的__。,Band7,4.4,5
野外,yěwài,noun: the wild / outdoors,他们计划在野外露营一晚。,They plan to camp outdoors for one night.,他们计划在__露营一晚。,Band7,5.2,5
一塌糊涂,yī tà hútú,idiom (adj): a complete mess / total chaos,考试没复习，结果考得一塌糊涂。,I didn’t study for the exam and ended up doing terribly.,考试没复习，结果考得__。,Band7,Unknown,5
义工,yìgōng,noun: volunteer,很多义工来帮助老人。,Many volunteers came to help the elderly.,很多__来帮助老人。,Band7,3.8,5
异口同声,yìkǒutóngshēng,idiom: to say the same thing in unison,大家异口同声地表示支持这个决定。,Everyone expressed support for the decision in unison.,大家__地表示支持这个决定。,Band7,4.1,5
一连串,yīliánchuàn,measure phrase: a series of; a string of,他提出了一连串的问题。,He raised a series of questions.,他提出了__的问题。,Band7,2.5,5
硬币,yìngbì,noun: coin,我口袋里有几枚硬币。,I have several coins in my pocket.,我口袋里有几枚__。,Band7,3.2,5
应付,yìngfù,verb: to deal with; to cope with,他能够应付各种困难。,He can handle all kinds of difficulties.,他能够__各种困难。,Band7,3.1,5
