Chinese Words,pinyin,English Words,Question Type,Category,Chinese Usage in a Sentence,English Usage in a sentence,Color,Chinese Usage in a Sentence Hint,Band 0 HSK
呼吸,hūxī,verb: to breathe,Both,Misc,请慢慢呼吸，保持放松。,Breathe slowly and stay relaxed.,5,请慢慢__，保持放松。,Band4
教训,jiàoxun,"noun: lesson (usually learned from a mistake)
verb: to lecture / to discipline",Both,Misc,这次失败给了他一个深刻的教训，父母也教训了他一顿,"This failure taught him a deep lesson, and his parents also gave him a stern talking-to.",5,这次失败给了他一个深刻的__，父母也 __了他一顿,Band4
竟然,jìngrán,adverb: unexpectedly / to one’s surprise,Both,Misc,他竟然一个人完成了整个项目。,He actually completed the whole project by himself — amazing!,5,他__一个人完成了整个项目。,Band4
善良,shànliáng,adjective: kind-hearted,Both,Misc,她是个善良的人，总愿意帮助别人。,"She’s a kind-hearted person, always willing to help others.",5,她是个__的人，总愿意帮助别人。,Band4
随手,suíshǒu,adverb: conveniently / in passing / without effort,Both,Misc,请随手关门，保持冷气。,Please close the door as you go to keep the air conditioning in.,5,请__关门，保持冷气。,Band4
销售,xiāoshòu,"verb: to sell
noun: sales",Both,Misc,这款手机的销售量大幅上升，公司也在全球销售这款产品。,"Sales of this phone have increased greatly, and the company sells it worldwide.",5,这款手机的__量大幅上升，公司也在全球__这款产品。,Band4
吸收,xīshōu,"verb: to absorb / to take in (nutrients, information, people)",Both,Misc,海绵能吸收水分，学生也要努力吸收知识。,Sponges absorb water; students must absorb knowledge too,5,海绵能__水分，学生也要努力__知识。,Band4
修理,xiūlǐ,verb: to repair / to fix,Both,Misc,这台电脑坏了，需要送去修理。,This computer is broken and needs to be repaired.,5,这台电脑坏了，需要送去__。,Band4
吸引,xīyǐn,verb: to attract / to draw,Both,Misc,这部电影的海报非常吸引人。,The poster for this movie is very eye-catching.,5,这部电影的海报非常__人。,Band4
质量,zhìliàng,noun: quality (of a product or work),Both,Misc,这台电视的质量很好，图像非常清晰。,"The quality of this TV is excellent, and the picture is very clear.",5,这台电视的__很好，图像非常清晰。,Band4
植物,zhíwù,noun: plant,Both,Misc,这种植物需要阳光和水才能生长良好。,This plant needs sunlight and water to grow well.,5,这种__需要阳光和水才能生长良好。,Band4
种类,zhǒnglèi,noun: kind / type / category,Both,Misc,这个超市的商品种类非常丰富。,This supermarket has a wide variety of products.,5,这个超市的商品__非常丰富。,Band4
招呼,zhāohu,verb: to greet / to call out to,Both,Misc,他在路上看到我，热情地跟我打招呼。,He greeted me warmly when he saw me on the street.,5,他在路上看到我，热情地跟我打__。,Band4
承受,chéngshòu,"verb: to endure / to bear (pressure, pain, etc.)",Both,Misc,这么大的压力，他已经快承受不住了,He can barely handle such intense pressure.,5,这么大的压力，他已经快__不住了,Band4
无法,wúfǎ,adverb: unable to / incapable of,Both,Misc,没有密码，我无法打开这个文件。,"Without the password, I can't open this file.",5,没有密码，我__打开这个文件。,Band4
担任,dānrèn,verb: to take the position of / to serve as,Both,Misc,他在公司担任经理已有五年。,He has served as the manager of the company for five years.,5,他在公司__经理已有五年。,Band4
于是,yúshì,conjunction: so / as a result / therefore,Both,Misc,天开始下雨了，于是我们改成在室内吃饭。,"It started raining, so we decided to eat indoors instead.",5,天开始下雨了，__我们改成在室内吃饭。,Band4
吃惊,chījīng,verb: to be shocked / surprised,Both,Misc,听到他突然辞职的消息，大家都很吃惊。,Everyone was shocked when they heard he suddenly resigned.,5,听到他突然辞职的消息，大家都很__。,Band4
寒冷,hánlěng,adjective: cold / frigid,Both,Misc,在这个寒冷的冬天，穿暖一点很重要。,"In this cold winter, it’s important to dress warmly.",5,在这个__的冬天，穿暖一点很重要。,Band4
锻炼,duànliàn,verb: to exercise / to train (physically or mentally),Both,Misc,每天早上我都会去公园锻炼身体。,I go to the park every morning to exercise.,5,每天早上我都会去公园__身体。,Band4
促进,cùjìn,verb: to promote / to boost / to facilitate,Both,Misc,这次交流活动促进了社团之间的了解与合作。,This event helped promote understanding and cooperation between clubs.,5,这次交流活动__了社团之间的了解与合作。,Band4
阅读,yuèdú,"verb: to read
noun: reading",Both,Misc,每天坚持阅读不仅能增长知识，也能提升表达能力。,Reading every day not only expands your knowledge but also improves your communication.,5,每天坚持__不仅能增长知识，也能提升表达能力。,Band4
包含,bāohán,verb: to include / to contain,Both,Misc,这份活动策划书包含预算、时间表和人员安排。,"This event plan includes a budget, timeline, and personnel arrangement.",5,这份活动策划书__预算、时间表和人员安排。,Band4
无论,wúlùn,conjunction: no matter / regardless of,Both,Misc,无论发生什么，我都会支持你。,"No matter what happens, I’ll support you.",5,__发生什么，我都会支持你。,Band4
角色,juésè,noun: role (in drama/life),Both,Misc,她在这部剧里饰演了一个反派角色，表现很精彩。,She played a villain in the play and performed brilliantly.,5,她在这部剧里饰演了一个反派__，表现很精彩。,Band4
相反,xiāngfǎn,adjective/adverb: opposite / on the contrary,Both,Misc,我以为他会生气，结果相反，他还笑了。,"I thought he’d be mad, but on the contrary, he laughed.",5,我以为他会生气，结果__，他还笑了。,Band4
调皮,tiáopí,adjective: mischievous / playful (often affectionately),Both,Misc,这个小孩太调皮，连老师也拿他没办法。,This kid is so mischievous that even the teacher can’t handle him.,5,这个小孩太__，连老师也拿他没办法。,Band4
步行,bùxíng,verb: to walk (on foot),Both,Misc,从宿舍到教学楼步行只要五分钟。,It only takes five minutes to walk from the dorm to the classroom.,5,从宿舍到教学楼__只要五分钟。,Band4
充足,chōngzú,adjective: sufficient / ample,Both,Misc,准备工作十分充足，大家都很有信心。,"The preparations are sufficient, and everyone feels confident.",5,准备工作十分__，大家都很有信心。,Band5
打扰,dǎrǎo,verb: to disturb / to interrupt,English,Misc,不好意思打扰你了，你现在有空吗？,Sorry to bother you — are you free now?,5,不好意思__你了，你现在有空吗？,Band5
沟通,gōutōng,"verb: to communicate
noun: communication",Both,Misc,良好的沟通是解决问题的关键，他们之间缺乏沟通。,"Good communication is key to solving problems, and they lack that between them.",5,良好的__是解决问题的关键，他们之间缺乏__。,Band5
模仿,mófǎng,verb: to imitate / to mimic,Both,Misc,孩子喜欢模仿大人的说话方式。,Children like to imitate the way adults speak.,5,孩子喜欢__大人的说话方式。,Band5
年龄,niánlíng,noun: age,Both,Misc,她虽然年龄不大，但经验非常丰富。,"Although she’s not very old, she has a wealth of experience.",5,她虽然__不大，但经验非常丰富。,Band5
勤奋,qínfèn,adjective: diligent / hardworking,Both,Misc,他非常勤奋，每天早起学习。,He’s very diligent and studies early every morning.,5,他非常__，每天早起学习。,Band5
清理,qīnglǐ,verb: to clean up / to clear out,Both,Misc,他正在清理房间，把不用的东西都扔掉了。,He’s cleaning the room and threw out everything unnecessary.,5,他正在__房间，把不用的东西都扔掉了。,Band5
损害,sǔnhài,"verb: to damage / to harm (abstract things like rights, reputation, health)",Both,Misc,吸烟严重损害健康。,Smoking seriously harms your health.,5,吸烟严重__健康。,Band5
损失,sǔnshī,"noun: loss (financial, material)
verb: to lose (in terms of assets or benefit)",Both,Misc,这场火灾造成了巨大的经济损失。,The fire caused massive financial losses.,5,这场火灾造成了巨大的经济__。,Band5
信念,xìnniàn,noun: conviction / strong belief (often secular or motivational),Both,Misc,他坚守自己的信念，不轻易放弃理想。,He holds firmly to his convictions and doesn’t give up on his ideals easily.,5,他坚守自己的__，不轻易放弃理想。,Band5
模范,mófàn,noun: role model / example,Both,Misc,她是我们班的学习模范，大家都向她学习。,She’s the academic role model in our class—everyone looks up to her.,5,她是我们班的学习__，大家都向她学习。,Band5
珍惜,zhēnxī,verb: to treasure / to cherish,Both,Misc,我们要珍惜现在拥有的一切。,We should cherish everything we have now.,5,我们要__现在拥有的一切。,Band5
尊敬,zūnjìng,verb: to respect,Both,Misc,学生们都很尊敬这位认真负责的老师。,The students truly respect this responsible teacher.,5,学生们都很__这位认真负责的老师。,Band5
赠送,zèngsòng,verb: to give as a gift,Both,Misc,这家店消费满一百元就会赠送小礼物，我上次就收到了一支笔。,This store gives a small gift when you spend over 100 yuan — I got a pen last time.,5,这家店消费满一百元就会__小礼物，我上次就收到了一支笔。,Band5
视频,shìpín,noun: video,Both,Misc,这段社团介绍视频拍得很用心。,This club introduction video was made with great effort.,5,这段社团介绍__拍得很用心。,Band5
如此,rúcǐ,adverb: so / like this,Both,Misc,我从没见过他如此激动。,I’ve never seen him this emotional.,5,我从没见过他__激动。,Band5
立场,lìchǎng,noun: standpoint / position (on an issue),Both,Misc,在这件事上，他的立场一直很坚定。,He’s always been firm in his stance on this issue.,5,在这件事上，他的__一直很坚定。,Band5
和谐,héxié,adjective: harmonious,Both,Misc,他们的关系非常和谐，几乎从不吵架。,Their relationship is very harmonious — they almost never argue.,5,他们的关系非常__，几乎从不吵架。,Band6
唠叨,láodao,"verb: to nag / to chatter
adjective (informal): nagging / repetitive",Both,Misc,妈妈总是唠叨我早点睡觉。,Mom always nags me to go to bed early.,5,妈妈总是__我早点睡觉。,Band6
名誉,míngyù,noun: reputation / honor,Both,Misc,他因为诚信而获得了良好的名誉。,He gained a good reputation because of his honesty.,5,他因为诚信而获得了良好的__。,Band6
深深,shēnshēn,adverb: deeply (emotionally or physically),Both,Misc,我深深感受到他的关心。,I deeply felt his care.,5,我__感受到他的关心。,Band6
特地,tèdì,adverb: specially / for a special purpose,Both,Misc,我特地为你买了这份礼物。,I bought this gift just for you.,5,我__为你买了这份礼物。,Band6
信仰,xìnyǎng,noun: belief / faith (especially religious or spiritual),Both,Misc,每个人都有权利拥有自己的信仰。,Everyone has the right to their own faith.,5,每个人都有权利拥有自己的__。,Band6
因素,yīnsù,noun: factor / element,Both,Misc,天气是影响农业收成的一个重要因素。,Weather is an important factor affecting crop yields.,5,天气是影响农业收成的一个重要__。,Band6
争夺,zhēngduó,verb: to fight for / to compete over,Both,Misc,几家公司在争夺这个项目的合作权。,Several companies are competing for the rights to this project.,5,几家公司在__这个项目的合作权。,Band6
谦虚,qiānxū,adjective: modest / humble,Both,Misc,他虽然很厉害，但从不骄傲，反而很谦虚。,"Even though he’s talented, he’s not arrogant at all—very humble instead.",5,他虽然很厉害，但从不骄傲，反而很__。,Band6
气氛,qìfēn,noun: atmosphere / vibe,Both,Misc,活动现场的气氛非常热烈，大家都玩得很开心。,The atmosphere at the event was lively—everyone had a great time.,5,活动现场的气氛非常热烈，大家都玩得很开心。,Band6
危机,wēijī,noun: crisis,Both,Misc,公司正面临严重的资金危机，需要立即采取措施。,The company is facing a serious financial crisis and urgent action is needed.,5,公司正面临严重的资金危机，需要立即采取措施。,Band6
斗争,dòuzhēng,verb/noun: to struggle / fight (literal or figurative),Both,Misc,他正在和自己的懒惰进行激烈的斗争。,He’s battling hard against his own laziness.,5,他正在和自己的懒惰进行激烈的__。,Band6
犯规,fànguī,"verb: to commit a foul
noun: foul / rule violation",Both,Misc,他比赛时多次犯规，最后被罚下场。,He committed multiple fouls during the game and was eventually taken off the court.,5,他比赛时多次__，最后被罚下场。,Band6
仓库,cāngkù,noun: warehouse / storage,Both,Misc,器材全都放在学校的旧仓库里了。,All the equipment is stored in the school’s old warehouse.,5,器材全都放在学校的旧__里了。,Band6
脖子,bózi,Neck,Both,Body Part,我的脖子有点疼,My neck hurts a little.,5,我的__有点疼,Band7
慈祥,cíxiáng,adjective: kindly / benevolent (used for elder appearance or tone),Both,Misc,奶奶的脸上总是带着慈祥的笑容。,Grandma always has a kind smile on her face.,5,奶奶的脸上总是带着__的笑容。,Band7
得知,dézhī,verb: to learn of / to be informed,Both,Misc,我刚得知你通过了面试，真为你高兴！,I just found out you passed the interview — so happy for you!,5,我刚__你通过了面试，真为你高兴！,Band7
粉丝,fěnsī,noun: fan (supporter of a celebrity or brand),Both,Misc,这位歌手的粉丝遍布全球。,This singer has fans all over the world.,5,这位歌手的__遍布全球。,Band7
服气,fúqì,verb: to be convinced / to accept someone’s superiority,Both,Misc,他实力强，让人心服口服，大家都服气。,He’s so capable that everyone truly respects him and accepts his leadership.,5,他实力强，让人心服口服，大家都__。,Band7
感触,gǎnchù,noun: emotional feeling / sentiment (usually after experience or reflection),Both,Misc,参观完那个纪念馆后，我有很多感触。,I had many feelings after visiting that memorial.,5,参观完那个纪念馆后，我有很多__。,Band7
幕后,mùhòu,adjective: behind-the-scenes,Both,Misc,虽然他不是演员，但他是幕后的一位重要策划者。,"Though not an actor, he is an important behind-the-scenes planner.",5,虽然他不是演员，但他是__的一位重要策划者。,Band7
删除,shānchú,verb: to delete / to erase,Both,Misc,请把重复的文件删除掉。,Please delete the duplicate files.,5,请把重复的文件__掉。,Band7
水龙头,shuǐlóngtóu,noun: faucet / tap,Both,Misc,洗完手后请关好水龙头。,Please turn off the faucet after washing your hands.,5,洗完手后请关好__。,Band7
私家车,sījiāchē,Private Car,Both,Vehicle,在新加坡，拥有一辆私家车的成本很高,"In Singapore, the cost of owning a private car is very high",5,在新加坡，拥有一辆__的成本很高,Band7
损坏,sǔnhuài,verb: to break / to damage (physically),Both,Misc,请小心使用设备，以免损坏。,Please use the equipment carefully to avoid damage.,5,请小心使用设备，以免__。,Band7
吸取,xīqǔ,"verb: to absorb / to draw from (experience, lessons)",Both,Misc,我们应该吸取过去的教训，避免重蹈覆辙。,We should draw lessons from the past to avoid repeating mistakes.,5,我们应该__过去的教训，避免重蹈覆辙。,Band7
羞愧,xiūkuì,adjective: ashamed / guilty,Both,Misc,做错事后，他感到十分羞愧，不敢抬头。,He felt very ashamed after making a mistake and didn’t dare to lift his head.,5,做错事后，他感到十分__，不敢抬头。,Band7
有所,yǒusuǒ,"adverbial phrase: to have some, its usually combined with other words",Both,Misc,最近他的中文水平有所提高。,His Chinese level has improved recently.,5,最近他的中文水平__提高。,Band7
债务,zhàiwù,noun: debt / liability,Both,Misc,他因为投资失败而背上了巨额债务。,He fell into massive debt after a failed investment.,5,他因为投资失败而背上了巨额__。,Band7
阻挡,zǔdǎng,verb: to block / to obstruct,Both,Misc,没人能阻挡他前进的决心。,No one can block his determination to move forward.,5,没人能__他前进的决心。,Band7
取代,qǔdài,verb: to replace / to substitute,Both,Misc,人工智能正逐渐取代一些传统的工作岗位。,AI is gradually replacing some traditional jobs.,5,人工智能正逐渐__一些传统的工作岗位。,Band7
嘴唇,zuǐchún,noun: lips,Both,Misc,她的嘴唇因为太干裂开了。,Her lips cracked because they were too dry.,5,她的__因为太干裂开了。,Band7
拼命,pīnmìng,adverb/verb: with all one’s might / to risk one's life,Both,Misc,他拼命地赶作业，希望能按时交上去。,He rushed like crazy to finish the homework on time.,5,他__地赶作业，希望能按时交上去。,Band7
长辈,zhǎngbèi,noun: elder / senior (in age or position),Both,Misc,我们应该尊重和关心家里的长辈。,We should respect and care for the elders in our family.,5,我们应该尊重和关心家里的__。,Band7
榜样,bǎngyàng,noun: role model / example,Both,Misc,他是我们班公认的好榜样，学习和做人都很好。,He’s considered a role model in our class—for both academics and character.,5,他是我们班公认的好__，学习和做人都很好。,Band7
所属,suǒshǔ,verb/adjective: to belong to / affiliated with,,,请写上你的姓名和所属社团。,Please write your name and which club you belong to.,5,请写上你的姓名和__社团。,Band7
社团,shètuán,noun: club / student organization,Both,Misc,她参加了三个社团，每天下课都很忙。,"She joined three clubs, so she's busy every day after class.",5,她参加了三个__，每天下课都很忙。,Band7
寻常,xúncháng,adjective: ordinary / common,Both,Misc,今天只是个寻常的下午，但我却突然接到了一通特别的电话。,Today was just an ordinary afternoon — but I suddenly received a special call.,5,今天只是个__的下午，但我却突然接到了一通特别的电话。,Band7
强行,qiángxíng,adverb/verb: forcibly / to force,Both,Misc,他想强行闯入会场，被保安拦了下来。,He tried to force his way into the venue but was stopped by security.,5,他想强行闯入会场，被保安拦了下来。,Band7
去处,qùchù,noun: destination / place to go,Both,Misc,这个周末还没安排好，有没有什么好去处推荐？,I haven't made plans for the weekend — do you have any good places to go?,5,这个周末还没安排好，有没有什么好__推荐？,Band7
魅力,mèilì,noun: charm / charisma,Both,Misc,她不仅有能力，还有一种让人无法抗拒的魅力。,,5,她不仅有能力，还有一种让人无法抗拒的__。,Band7
恰巧,qiàqiǎo,adverb: by chance / just so happens,Both,Misc,我正要出门，恰巧你也来了，我们一起走吧。,"I was just about to leave, and you happened to arrive — let’s go together.",5,我正要出门，__你也来了，我们一起走吧。,Band7
欲望,yùwàng,noun: desire / craving,Both,Misc,人一旦被欲望控制，就很容易迷失方向。,"Once someone is controlled by desire, it’s easy to lose direction.",5,人一旦被__控制，就很容易迷失方向。,Band7
流露,liúlù,"verb: to show unintentionally / to reveal (emotion, thoughts)",Both,Misc,她说没关系，但眼神却流露出失望。,"She said it was fine, but her eyes revealed disappointment.",5,她说没关系，但眼神却__出失望。,Band7
外表,wàibiǎo,noun: appearance,Both,Misc,不能只看外表，他其实是个很温暖的人。,You can’t judge by appearance—he’s actually a very warm person.,5,不能只看__，他其实是个很温暖的人。,Band7
温柔,wēnróu,"adjective: gentle / soft (personality, tone, action)",Both,Misc,他说话很温柔，让人不自觉就放松下来。,He speaks so gently that it naturally puts people at ease.,5,他说话很__，让人不自觉就放松下来。,Band7
开朗,kāilǎng,adjective: cheerful / outgoing,Both,Misc,她性格开朗，跟谁都聊得来,She’s cheerful and can talk easily with anyone.,5,她性格__，跟谁都聊得来,Band7
不管三七二十一,bùguǎnsānqīèrshíyī,idiom: regardless of consequences / act impulsively,Both,Misc,他当时太生气了，不管三七二十一就冲了上去。,He was so angry that he rushed in without thinking.,5,他当时太生气了，不管__就冲了上去。,Unknown
不理不睬,bùlǐbùcǎi,idiom: to ignore completely / cold shoulder,Both,Misc,他生气时对我不理不睬，一句话都不说。,"When he’s angry, he gives me the cold shoulder and doesn’t say a word.",5,他生气时对我__，一句话都不说。,Unknown
闯关,chuǎngguān,"verb: to break through a level / pass a stage (games, exams, bureaucracy)",Both,Misc,他花了一晚上才闯关成功。,He spent the whole night just to pass the level.,5,他花了一晚上才__成功。,Unknown
挡住,dǎngzhù,verb: to block (a physical object or path),English,Misc,有人挡住了门口，我进不去。,Someone is blocking the door—I can’t get in.,5,有人__了门口，我进不去。,Unknown
夺得,duódé,"verb: to seize / to win (a title, prize, etc.)",Both,Misc,他在比赛中夺得了第一名。,He won first place in the competition.,5,他在比赛中__了第一名。,Unknown
隔天,gétiān,noun/adverb: the next day / every other day,Both,Misc,我们隔天练一次球，隔天作业老师也会检查。,"We practice basketball every other day, and the teacher checks homework the next day too.",5,我们__练一次球，隔天作业老师也会检查。,Unknown
贵,guì,noble,English,Misc,他出身于一个历史悠久的贵族家庭,He comes from a noble family with a long history.,5,他出身于一个历史悠久的__族家庭,Unknown
剪辑师,jiǎnjíshī,noun: video editor / film editor,Both,Misc,这部电影的成功离不开剪辑师的精心处理。,The success of the film owes much to the editor’s careful work.,5,这部电影的成功离不开__的精心处理。,Unknown
叫车服务,jiàochēfúwù,ride hailing service,Both,Vehicle,Grab 是一个非常流行的叫车服务,Grab is a very popular ride-hailing service,5,Grab 是一个非常流行的_,Unknown
九牛二虎之力,jiǔniúèrhǔzhīlì,idiom: tremendous effort / with all one’s strength,Both,Misc,他用了九牛二虎之力才把箱子搬上楼。,He used all his strength to carry the box upstairs.,5,他用了__才把箱子搬上楼。,Unknown
课室,kèshì,class room,Both,School,学生们正在课室里上课。,The students are having class in the classroom.,5,学生们正在__里上课。,Unknown
跨年,kuànián,verb (set phrase): to celebrate the New Year / to pass from one year into the next,Both,Misc,我们决定去海边一起跨年，看烟火迎接新的一年。,We decided to celebrate the New Year at the beach and watch fireworks to welcome the new year.,5,我们决定去海边一起__，看烟火迎接新的一年。,Unknown
苦读,kǔdú,verb: to study hard / to study bitterly,Both,Misc,他为了高考在家苦读，每天学习到深夜。,"He studied bitterly at home for the college entrance exam, working late into the night.",5,他为了高考在家__，每天学习到深夜。,Unknown
临时抱佛脚,línshíbàofójiǎo,idiom: to cram at the last minute / seek help too late,Both,Misc,考试前临时抱佛脚，效果不会太好。,Cramming right before an exam usually doesn’t work well.,5,考试前__，效果不会太好。,Unknown
埋头,máitóu,verb: to bury one’s head in / to be absorbed in,Both,Misc,他埋头写作，连电话都没听见。,He was so focused on writing he didn’t even hear the phone.,5,他__写作，连电话都没听见。,Unknown
埋头苦读,máitóukǔdú,idiom: to bury oneself in hard study,Both,Misc,为了考上理想的大学，他一直埋头苦读。,"To get into his dream college, he’s been studying extremely hard.",5,为了考上理想的大学，他一直__。,Unknown
名誉扫地,míngyùsǎodì,idiom: to lose one’s reputation completely,Both,Misc,因为丑闻，他在公司里的名誉扫地。,"Because of the scandal, his reputation in the company was completely ruined.",5,因为丑闻，他在公司里的__。,Unknown
摩托车,mótuōchē,Motorcycle,Both,Vehicle,在新加坡，摩托车通常用于送外卖和送货,"In Singapore, motorcycles are often used for food delivery and delivery services",5,在新加坡，__通常用于送外卖和送货,Unknown
欠钱,qiànqián,verb phrase: to owe money,Both,Misc,他向朋友借钱买车，现在还欠钱没还完,He borrowed money from a friend to buy a car and still hasn’t finished repaying it.,5,他向朋友借钱买车，现在还__没还完,Unknown
抢当,qiǎngdāng,verb: to fight over being the first to do something / volunteer aggressively,Both,Misc,他总是抢当班长，想表现自己。,He always tries to be the first to volunteer as class monitor to show off.,5,他总是__班长，想表现自己。,Unknown
上气不接下气,shàngqìbùjiēxiàqì,idiom: to be out of breath,Both,Misc,他跑了三圈，已经累得上气不接下气。,"After three laps, he was so tired he couldn’t catch his breath.",5,他跑了三圈，已经累得__。,Unknown
送货,sònghuò,Delivery,Both,Misc,这家商店提供免费送货服务,This store offers free delivery service,5,这家商店提供免费__服务,Unknown
吸入,xīrù,verb: to inhale / to breathe in,Both,Misc,他不小心吸入了有害气体。,He accidentally inhaled harmful gas.,5,他不小心__了有害气体。,Unknown
养分,yǎngfèn,noun: nutrients,Both,Misc,土壤中含有丰富的养分，有利于植物生长。,"The soil is rich in nutrients, which supports plant growth.",5,土壤中含有丰富的__，有利于植物生长。,Unknown
迎面,yíngmiàn,adverb: directly facing / head-on,Both,Misc,他迎面走来，脸上带着微笑。,He walked straight toward me with a smile on his face.,5,他__走来，脸上带着微笑。,Unknown
应用程序,yìngyòngchéngxù,application,Both,Misc,我通常使用 Grab 的应用程序来预订出租车,I usually use Grab's application to book a taxi,5,我通常使用 Grab 的__来预订出租车,Unknown
自言自语,zìyánzìyǔ,verb phrase: to talk to oneself,Both,Misc,他坐在角落里自言自语，看起来心事重重。,"He sat in the corner talking to himself, looking preoccupied.",5,他坐在角落里__，看起来心事重重。,Unknown
做大,zuòdà,verb: to grow big (usually referring to a business or brand),Both,Misc,他用了五年时间把公司做大做强。,He took five years to grow the company into a major success.,5,他用了五年时间把公司__做强。,Unknown
形影不离,xíng yǐng bù lí,idiom: inseparable (like body and shadow),Both,Misc,他们两个是形影不离的好朋友，每天都在一起。,They’re inseparable best friends and spend every day together.,5,他们两个是__的好朋友，每天都在一起。,Unknown
和好,héhǎo,verb: to make peace / to reconcile,Both,Misc,他们吵了一架，但很快就和好了。,They had an argument but made up quickly.,5,他们吵了一架，但很快就__了。,Unknown
如初,rúchū,expression: (as good) as before / as it was at the beginning,Both,Misc,虽然经历了误会，他们的感情依然如初。,"Even after the misunderstanding, their relationship is just as good as before.",5,虽然经历了误会，他们的感情依然__。,Unknown
抖动,dǒudòng,verb: to tremble / to shake,Both,Misc,他的手因为太紧张而不停抖动。,His hands kept shaking from nervousness.,5,他的手因为太紧张而不停__。,Unknown
争夺冠军,zhēngduó guànjūn,phrase: fight for the championship,Both,Misc,两支队伍正在争夺冠军，场面非常激烈。,The two teams are battling for the championship—the match is intense.,5,两支队伍正在__，场面非常激烈。,Unknown
尊卑,zūnbēi,noun: hierarchy / ranks (in terms of status or age),Both,Misc,在传统文化中，尊卑有序是一种礼仪规范。,"In traditional culture, maintaining hierarchy is a matter of etiquette.",5,在传统文化中，__有序是一种礼仪规范。,Unknown
尊敬长辈,zūnjìng zhǎngbèi,phrase: to respect elders,Both,Misc,尊敬长辈是我们从小被教导的美德。,Respecting elders is a virtue we’re taught from young.,5,__是我们从小被教导的美德。,Unknown
捡到,jiǎndào,verb: to pick up (something lost or dropped),Both,Misc,他在教室里捡到一个手机，交给了老师。,He picked up a phone in the classroom and gave it to the teacher.,5,他在教室里__一个手机，交给了老师。,Unknown
播客,bōkè,noun: podcast,Both,Misc,我每天走路时都会听中文播客练听力。,I listen to Chinese podcasts while walking every day to improve listening.,5,我每天走路时都会听中文__练听力。,Unknown
渣男,zhānán,noun: jerk / toxic guy (emotionally harmful in relationships) (slang),Both,Misc,她刚分手，因为发现对方其实是个渣男。,She just broke up—turns out the guy was a total jerk.,5,她刚分手，因为发现对方其实是个__。,Unknown
文艺部,wényì bù,noun: Literary & Arts Department (in a club or student council),Both,Misc,文艺部正在筹备一场校园演出。,The Literary & Arts Department is preparing a school performance.,5,__正在筹备一场校园演出。,Unknown
部室,bùshì,noun: club room / department office (in school or student clubs),Both,Misc,我们每天放学后都在文艺部的部室讨论活动安排。,We meet in the Lit & Arts club room after school to plan events.,5,我们每天放学后都在文艺部的__讨论活动安排。,Unknown
存活,cúnhuó,verb: to survive / to stay alive,Both,Misc,这株植物在极端环境下依然能存活，真的很顽强。,This plant can survive even in extreme environments — it’s really tough.,5,这株植物在极端环境下依然能存活，真的很顽强。,Unknown
孤身,gūshēn,adjective: alone / without company,Both,Misc,他孤身一人来到陌生的城市，开始了新生活。,He came to a new city alone and started a new life.,5,他__一人来到陌生的城市，开始了新生活。,Unknown
住所,zhùsuǒ,noun: place of residence,Both,Misc,请在登记表上填写你的现居住所。,Please write down your current residence on the registration form.,5,请在登记表上填写你的现居__。,Unknown
超棒,chāobàng,adjective: amazing / awesome,Both,Misc,你写的这篇稿子超棒，已经被选上发表了！,Your article is amazing — it’s been chosen for publication!,5,你写的这篇稿子__，已经被选上发表了！,Unknown
阴沉,yīnchén,"adjective: gloomy / overcast (weather, mood)",Both,Misc,今天的天气阴沉得让人提不起劲，大家都不太说话。,The weather today was so gloomy that no one felt like talking.,5,今天的天气__得让人提不起劲，大家都不太说话。,Unknown
卑微,bēiwēi,adjective: lowly / humble (often emotionally),Both,Misc,他在感情中总是表现得很__，什么都迁就对方。,"He always acts humbly in the relationship, constantly accommodating the other person.",5,他在感情中总是表现得很__，什么都迁就对方。,Unknown
归根到底,guī gēn dào dǐ,phrase: in the end / ultimately,Both,Misc,归根到底，我们之间的问题还是因为缺乏沟通。,"Ultimately, the problem between us is still a lack of communication.",5,___，我们之间的问题还是因为缺乏沟通。,Unknown
栖身,qīshēn,verb: to stay temporarily / to live (esp. humbly or as a guest),Both,Misc,他在朋友家栖身了几天，等找到新房子才搬出去。,He stayed at a friend’s place for a few days before moving to his new apartment.,5,他在朋友家__了几天，等找到新房子才搬出去。,Unknown
清纯,qīngchún,adjective: pure and innocent (usually describes girls or image),Both,Misc,她穿着白裙子，笑容清纯得像一幅画。,"Wearing a white dress, her innocent smile looked like something from a painting.",5,她穿着白裙子，笑容__得像一幅画。,Unknown
色气,sèqì,noun: suggestive energy / sexiness (often playful or teasing) (internet slang),Both,Misc,她一笑就透出点小色气，但又不过分。,Her smile gives off a flirty vibe—but not too much.,5,她一笑就透出点小__，但又不过分。,Unknown
调戏,tiáoxì,verb: to tease or flirt (negative/slightly inappropriate tone),Both,Misc,不可以随便调戏别人，这是不尊重的行为。,You can’t just flirt or tease people inappropriately — it’s disrespectful.,5,不可以随便__别人，这是不尊重的行为。,Unknown
取乐,qǔlè,"verb: to entertain oneself / to make fun (of someone, often lightly)",Both,Misc,他总喜欢拿我来取乐，但我已经习惯了。,He always jokes at my expense for fun—but I’ve gotten used to it.,5,他总喜欢拿我来__，但我已经习惯了。,Unknown
